"text","post_content","source_type"
"La majorité des français ne veut plus de cette pratique barbare et inutile !","L’association présidée par Laurent Leclercq, qui compte 220 adhérents, accueillera les chasseurs au port les samedis 5 et 12 septembre afin de préparer la nouvelle saison et d’échanger sur la gestion du gibier","post"
"😅😅😅","Elles valent jusqu’à 3 000 euros : possédez-vous ces pièces de 2 euros qui peuvent vous rapporter une petite fortune ?","post"
"Nous avons déjeune rue Molinier vendredi 28, pas un seul son de musique aux alentours, ( alors qu’il y avait plein de monde !)nous avons ensuite déambule avenue de la république même silence.
Je suis passée le lendemain en voiture le long de la place jasmin à 16.21 exactement, pas la moindre note de musique. Vraiement dommage.
Nous sommes jeunes seniors, pas vraiement fan de Yann Muller, MPokora et Louane et aurions aimé un peu plus de diversité musicale, jazz, pop rock, et pourquoi pas classique, des concerts gratuits un peu partout ce qui pourrait amener une ambiance plus festive dans la ville.","« Regardez l’ambiance, il n’y a même pas un son de musique dehors » : la braderie des commerçants cherche sa place au milieu des Fêtes d’Agen","post"
"Finalement je comprends de plus en plus cette génération 
Qui ne veut pas être un pigeon au lance pierre...

Après on ne peut pas leur en vouloir, le système scolaire qui vend du rêve sur les salaires imaginaires...","Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents
🔗https://l.sudouest.fr/JMbI","post"
"Mais c'est bien connu que le gouvernement est une association de malfaiteurs 🤮🤮🤮","Alors que le Premier ministre Sébastien Lecornu était en visite au Porge, la commune la plus durement touchée par les incendies en Gironde, plusieurs habitants ont voulu lui parler mais ont été bloqués par les forces de l’ordre à quelques centaines de mètres du convoi ministériel. Alain, habitant du Porge, exprime sa colère.
🔗 https://l.sudouest.fr/q0aF

📹 Bastien Marie","post"
"Les glaces angelys sont tellement bonnes! J'en trouve chez moi en Gironde et j'ai arrêté d'acheter les autres marques","« Pour la première fois depuis trente ans, nous avons eu des ruptures de stock » : près de Saintes, le glacier L’Angélys surperforme avec la chaleur mais anticipe des complications pour 2027","post"
"Promotion","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/15fe","post"
"Une honte qui a pu voter bravo les personnes âgées ne pourront plus aller faire leurs courses agen sud université plus desservie a vomir bravo l aglo vous etes bien confortables dans vos sièges vous n avez aucune connaissance du réseau","« Chaque commune doit pouvoir trouver sa place dans notre politique de mobilité » : l’Agglomération d’Agen inaugure son nouveau réseau Tempo, opérationnel dès lundi","post"
"Lolo Perso il a perdu la vie très triste","Un adolescent de 14 ans en trottinette mortellement fauché par un train, les barrières du passage à niveau « ont correctement fonctionné »","post"
"Patrice Dubiau une promotion voyons.elle est méritante. Elle fait bien son boulot.tout roule","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/15fe","post"
"La version de Sanchez.","Afflux de migrants à Ceuta : l’Espagne « continue à enquêter » sur les causes, la Russie, Israël et l’ultra-droite pointés du doigt
🔗https://l.sudouest.fr/q0mW","post"
"Bravo ! Où trouver le site soutient ?","« J’en ai assez de commenter le désastre » : la journaliste Natacha Polony se lance en politique pour « perturber l’entre-soi »","post"
"Thierry Escande Natacha Polony Macroniste? vous n'avez pas du beaucoup l'écouter!","« J’en ai assez de commenter le désastre » : la journaliste Natacha Polony se lance en politique pour « perturber l’entre-soi »","post"
"Bravo ! Une très belle initiative, en vous souhaitant tout le succès mérité !","À Itxassou, Marilyn apprend à devenir éleveuse de poules pondeuses. À Urt, François cultive ses premières parcelles de légumes. Ni l’une ni l’autre ne sont issus du milieu agricole. Ils ont trouvé dans l’association Trebatu, créée au Pays basque en 2016, un sas avant l’installation. Une manière de tester le métier avant de se lancer complètement","post"
"C'est quoi le féminin de pingoin?","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/Px7C","post"
"C est dommage elle était belle","Vidéo. Rappelez-vous, en 1997, Lady Diana Spencer perdait la vie à l’âge de 36 ans dans un tragique accident de voiture à Paris","post"
"Ce serait une catastrophe *pour les chasseurs.","Bruno Meunier est président de la Fédération régionale des chasseurs de Nouvelle-Aquitaine qui compte 150 000 adhérents","post"
"Mélodie Coustou c’est surtout parce que c’est nouveau qu’on en parle. Personnellement je n’ai pas eu de problème pour le paiement de mes 2 congés maternité …","Nouveau congé de naissance : « Nous avons tapé dans nos économies », les premiers couacs du dispositif, avec des retards dans le versement des indemnités","post"
"David Saforcada 2027","« J’en ai assez de commenter le désastre » : la journaliste Natacha Polony se lance en politique pour « perturber l’entre-soi »","post"
